UF;REGIAO;TOTAL
SC;SUL;24191.0
RS;SUL;77262.0
PR;SUL;77299.0
AP;NORTE;5767.0
PA;NORTE;25750.0
AM;NORTE;31716.0
RO;NORTE;12061.0
TO;NORTE;6706.0
AC;NORTE;7050.0
RR;NORTE;6295.0
RJ;SUDESTE;101922.0
SP;SUDESTE;5633.0
ES;SUDESTE;25601.0
MG;SUDESTE;60629.0
AL;NORDESTE;816.0
SE;NORDESTE;1796.0
PE;NORDESTE;5789.0
RN;NORDESTE;1993.0
CE;NORDESTE;13728.0
BA;NORDESTE;25738.0
PI;NORDESTE;3918.0
MA;NORDESTE;16077.0
PB;NORDESTE;1245.0
DF;CENTRO-OESTE;24622.0
GO;CENTRO-OESTE;53731.0
MT;CENTRO-OESTE;15189.0
MS;CENTRO-OESTE;17676.0
